order_id,user_id,restaurant_id,timestamp,cart_state,candidate_item,label
0,4132,130,2025-10-13 20:06:10,[1072],1281,0
0,4132,130,2025-10-13 20:06:10,[1072],219,1
0,4132,130,2025-10-13 20:06:10,[1072],1419,0
0,4132,130,2025-10-13 20:06:10,[1072],1480,0
0,4132,130,2025-10-13 20:06:10,[1072],290,0
0,4132,130,2025-10-13 20:06:10,[1072],1072,0
0,4132,130,2025-10-13 20:06:10,[1072],183,0
0,4132,130,2025-10-13 20:06:10,[1072],27,0
0,4132,130,2025-10-13 20:06:10,[1072],753,0
0,4132,130,2025-10-13 20:06:10,[1072],1726,0
0,4132,130,2025-10-13 20:06:10,"[1072, 219]",780,0
0,4132,130,2025-10-13 20:06:10,"[1072, 219]",124,0
0,4132,130,2025-10-13 20:06:10,"[1072, 219]",396,0
0,4132,130,2025-10-13 20:06:10,"[1072, 219]",121,0
0,4132,130,2025-10-13 20:06:10,"[1072, 219]",448,0
0,4132,130,2025-10-13 20:06:10,"[1072, 219]",794,0
0,4132,130,2025-10-13 20:06:10,"[1072, 219]",143,1
0,4132,130,2025-10-13 20:06:10,"[1072, 219]",1873,0
0,4132,130,2025-10-13 20:06:10,"[1072, 219]",753,0
0,4132,130,2025-10-13 20:06:10,"[1072, 219]",1198,0
0,4132,130,2025-10-13 20:06:10,"[1072, 219, 143]",6,0
0,4132,130,2025-10-13 20:06:10,"[1072, 219, 143]",121,0
0,4132,130,2025-10-13 20:06:10,"[1072, 219, 143]",1416,0
0,4132,130,2025-10-13 20:06:10,"[1072, 219, 143]",290,0
0,4132,130,2025-10-13 20:06:10,"[1072, 219, 143]",286,0
0,4132,130,2025-10-13 20:06:10,"[1072, 219, 143]",143,0
0,4132,130,2025-10-13 20:06:10,"[1072, 219, 143]",794,0
0,4132,130,2025-10-13 20:06:10,"[1072, 219, 143]",396,0
0,4132,130,2025-10-13 20:06:10,"[1072, 219, 143]",921,0
0,4132,130,2025-10-13 20:06:10,"[1072, 219, 143]",1181,0
1,4255,143,2025-03-01 19:21:15,[1547],176,0
1,4255,143,2025-03-01 19:21:15,[1547],885,0
1,4255,143,2025-03-01 19:21:15,[1547],188,1
1,4255,143,2025-03-01 19:21:15,[1547],1375,0
1,4255,143,2025-03-01 19:21:15,[1547],848,0
1,4255,143,2025-03-01 19:21:15,[1547],525,0
1,4255,143,2025-03-01 19:21:15,[1547],434,0
1,4255,143,2025-03-01 19:21:15,[1547],1373,0
1,4255,143,2025-03-01 19:21:15,[1547],1766,0
1,4255,143,2025-03-01 19:21:15,[1547],1735,0
1,4255,143,2025-03-01 19:21:15,"[1547, 188]",1646,0
